N_IDE;Estrato;qvar;Elev_pob;se;se2;;;;;;
390150100124;1;1.00;148.730936398;11;111;;;;;;
390580100104;1;1.00;136.920991805;11;111;;;;;;
390960100154;1;1.00;114.549380122;11;111;;;;;;
390580100114;1;1.00;136.920991805;12;121;;;;;;
390580100116;1;1.00;136.920991805;12;121;;;;;;
390670100103;1;1.00;132.042971212;12;121;;;;;;
390670100128;1;1.00;132.042971212;12;121;;;;;;
390900100148;1;1.00;124.978251734;12;121;;;;;;
390920100140;1;1.00;137.012741409;12;121;;;;;;
390580100115;1;1.00;136.920991805;13;131;;;;;;
390580100132;1;1.00;136.920991805;13;131;;;;;;
390670100101;1;1.00;132.042971212;13;131;;;;;;
390670100127;1;1.00;132.042971212;13;131;;;;;;
390670100138;1;1.00;132.042971212;13;131;;;;;;
390920100108;1;1.00;137.012741409;13;131;;;;;;
390920100115;1;1.00;137.012741409;13;131;;;;;;
390920100128;1;1.00;137.012741409;13;131;;;;;;
390920100151;1;1.00;137.012741409;13;131;;;;;;
390960100114;1;1.00;114.549380122;13;131;;;;;;
390150100117;1;1.00;148.730936398;14;141;;;;;;
390580100123;1;1.00;136.920991805;14;141;;;;;;
390580100133;1;1.00;136.920991805;14;141;;;;;;
390670100119;1;1.00;132.042971212;14;141;;;;;;
390670100145;1;1.00;132.042971212;14;141;;;;;;
390900100108;1;1.00;124.978251734;14;141;;;;;;
390900100145;1;1.00;124.978251734;14;141;;;;;;
390920100103;1;1.00;137.012741409;14;141;;;;;;
390960100102;1;1.00;114.549380122;14;141;;;;;;
390960100126;1;1.00;114.549380122;14;141;;;;;;
390960100127;1;1.00;114.549380122;14;141;;;;;;
390960100128;1;1.00;114.549380122;14;141;;;;;;
390960100148;1;1.00;114.549380122;14;141;;;;;;
390150100101;1;1.00;148.730936398;15;151;;;;;;
390150100104;1;1.00;148.730936398;15;151;;;;;;
390150100131;1;1.00;148.730936398;15;151;;;;;;
390580100118;1;1.00;136.920991805;15;151;;;;;;
390670100116;1;1.00;132.042971212;15;151;;;;;;
390900100116;1;1.00;124.978251734;15;151;;;;;;
390900100118;1;1.00;124.978251734;15;151;;;;;;
390900100146;1;1.00;124.978251734;15;151;;;;;;
390920100130;1;1.00;137.012741409;15;151;;;;;;
390920100131;1;1.00;137.012741409;15;151;;;;;;
390920100139;1;1.00;137.012741409;15;151;;;;;;
390920100149;1;1.00;137.012741409;15;151;;;;;;
390920100152;1;1.00;137.012741409;15;151;;;;;;
390150100119;1;1.00;148.730936398;16;161;;;;;;
390670100107;1;1.00;132.042971212;16;161;;;;;;
390670100117;1;1.00;132.042971212;16;161;;;;;;
390670100126;1;1.00;132.042971212;16;161;;;;;;
390900100113;1;1.00;124.978251734;16;161;;;;;;
390900100129;1;1.00;124.978251734;16;161;;;;;;
390900100135;1;1.00;124.978251734;16;161;;;;;;
390920100133;1;1.00;137.012741409;16;161;;;;;;
390920100136;1;1.00;137.012741409;16;161;;;;;;
390920100138;1;1.00;137.012741409;16;161;;;;;;
390960100118;1;1.00;114.549380122;16;161;;;;;;
390960100119;1;1.00;114.549380122;16;161;;;;;;
390960100131;1;1.00;114.549380122;16;161;;;;;;
390960100139;1;1.00;114.549380122;16;161;;;;;;
390960100160;1;1.00;114.549380122;16;161;;;;;;
390150100129;1;1.00;148.730936398;21;211;;;;;;
390150100136;1;1.00;148.730936398;21;211;;;;;;
390580100120;1;1.00;136.920991805;21;211;;;;;;
390670100134;1;1.00;132.042971212;21;211;;;;;;
390150100106;1;1.00;148.730936398;22;221;;;;;;
390150100128;1;1.00;148.730936398;22;221;;;;;;
390150100130;1;1.00;148.730936398;22;221;;;;;;
390900100127;1;1.00;124.978251734;22;221;;;;;;
390150100120;1;1.00;148.730936398;23;231;;;;;;
390150100123;1;1.00;148.730936398;23;231;;;;;;
390580100101;1;1.00;136.920991805;23;231;;;;;;
390580100110;1;1.00;136.920991805;23;231;;;;;;
390580100112;1;1.00;136.920991805;23;231;;;;;;
390580100117;1;1.00;136.920991805;23;231;;;;;;
390670100113;1;1.00;132.042971212;23;231;;;;;;
390670100153;1;1.00;132.042971212;23;231;;;;;;
390900100103;1;1.00;124.978251734;23;231;;;;;;
390900100121;1;1.00;124.978251734;23;231;;;;;;
390920100104;1;1.00;137.012741409;23;231;;;;;;
390920100110;1;1.00;137.012741409;23;231;;;;;;
390150100121;1;1.00;148.730936398;24;241;;;;;;
390150100133;1;1.00;148.730936398;24;241;;;;;;
390580100113;1;1.00;136.920991805;24;241;;;;;;
390580100128;1;1.00;136.920991805;24;241;;;;;;
390580100130;1;1.00;136.920991805;24;241;;;;;;
390670100158;1;1.00;132.042971212;24;241;;;;;;
390900100138;1;1.00;124.978251734;24;241;;;;;;
390900100152;1;1.00;124.978251734;24;241;;;;;;
390920100113;1;1.00;137.012741409;24;241;;;;;;
390960100109;1;1.00;114.549380122;24;241;;;;;;
390960100130;1;1.00;114.549380122;24;241;;;;;;
390150100103;1;1.00;148.730936398;25;251;;;;;;
390580100126;1;1.00;136.920991805;25;251;;;;;;
390580100127;1;1.00;136.920991805;25;251;;;;;;
390580100138;1;1.00;136.920991805;25;251;;;;;;
390670100109;1;1.00;132.042971212;25;251;;;;;;
390670100121;1;1.00;132.042971212;25;251;;;;;;
390670100136;1;1.00;132.042971212;25;251;;;;;;
390670100140;1;1.00;132.042971212;25;251;;;;;;
390900100107;1;1.00;124.978251734;25;251;;;;;;
390900100115;1;1.00;124.978251734;25;251;;;;;;
390900100137;1;1.00;124.978251734;25;251;;;;;;
390900100140;1;1.00;124.978251734;25;251;;;;;;
390920100132;1;1.00;137.012741409;25;251;;;;;;
390920100137;1;1.00;137.012741409;25;251;;;;;;
390920100159;1;1.00;137.012741409;25;251;;;;;;
390960100125;1;1.00;114.549380122;25;251;;;;;;
390150100102;1;1.00;148.730936398;26;261;;;;;;
390150100127;1;1.00;148.730936398;26;261;;;;;;
390150100134;1;1.00;148.730936398;26;261;;;;;;
390580100140;1;1.00;136.920991805;26;261;;;;;;
390670100118;1;1.00;132.042971212;26;261;;;;;;
390900100109;1;1.00;124.978251734;26;261;;;;;;
390900100125;1;1.00;124.978251734;26;261;;;;;;
390920100101;1;1.00;137.012741409;26;261;;;;;;
390920100125;1;1.00;137.012741409;26;261;;;;;;
390960100107;1;1.00;114.549380122;26;261;;;;;;
390960100116;1;1.00;114.549380122;26;261;;;;;;
390960100124;1;1.00;114.549380122;26;261;;;;;;
390960100138;1;1.00;114.549380122;26;261;;;;;;
390960100158;1;1.00;114.549380122;26;261;;;;;;
390430100127;2;1.00;184.856872038;11;112;;;;;;
390640100112;2;1.00;161.629413507;11;112;;;;;;
390780100102;2;1.00;165.721297393;11;112;;;;;;
390820100110;2;1.00;198.456368483;11;112;;;;;;
390980100131;2;1.00;165.239899289;11;112;;;;;;
390430100133;2;1.00;184.856872038;12;122;;;;;;
390430100142;2;1.00;184.856872038;12;122;;;;;;
390640100104;2;1.00;161.629413507;12;122;;;;;;
390780100134;2;1.00;165.721297393;12;122;;;;;;
390780100153;2;1.00;165.721297393;12;122;;;;;;
390820100112;2;1.00;198.456368483;12;122;;;;;;
390820100138;2;1.00;198.456368483;12;122;;;;;;
390980100135;2;1.00;165.239899289;12;122;;;;;;
390050100102;2;1.00;163.555005924;13;132;;;;;;
390050100129;2;1.00;163.555005924;13;132;;;;;;
390050100133;2;1.00;163.555005924;13;132;;;;;;
390430100125;2;1.00;184.856872038;13;132;;;;;;
390430100148;2;1.00;184.856872038;13;132;;;;;;
390640100152;2;1.00;161.629413507;13;132;;;;;;
390820100131;2;1.00;198.456368483;13;132;;;;;;
390820100139;2;1.00;198.456368483;13;132;;;;;;
390980100116;2;1.00;165.239899289;13;132;;;;;;
390380100124;2;1.00;179.441143365;14;142;;;;;;
390380100138;2;1.00;179.441143365;14;142;;;;;;
390430100118;2;1.00;184.856872038;14;142;;;;;;
390430100141;2;1.00;184.856872038;14;142;;;;;;
390430100152;2;1.00;184.856872038;14;142;;;;;;
390640100106;2;1.00;161.629413507;14;142;;;;;;
390640100111;2;1.00;161.629413507;14;142;;;;;;
390640100120;2;1.00;161.629413507;14;142;;;;;;
390640100130;2;1.00;161.629413507;14;142;;;;;;
390640100136;2;1.00;161.629413507;14;142;;;;;;
390780100105;2;1.00;165.721297393;14;142;;;;;;
390780100110;2;1.00;165.721297393;14;142;;;;;;
390780100120;2;1.00;165.721297393;14;142;;;;;;
390780100121;2;1.00;165.721297393;14;142;;;;;;
390820100125;2;1.00;198.456368483;14;142;;;;;;
390820100145;2;1.00;198.456368483;14;142;;;;;;
390980100140;2;1.00;165.239899289;14;142;;;;;;
390980100147;2;1.00;165.239899289;14;142;;;;;;
390050100111;2;1.00;163.555005924;15;152;;;;;;
390640100108;2;1.00;161.629413507;15;152;;;;;;
390640100110;2;1.00;161.629413507;15;152;;;;;;
390640100135;2;1.00;161.629413507;15;152;;;;;;
390820100104;2;1.00;198.456368483;15;152;;;;;;
390820100115;2;1.00;198.456368483;15;152;;;;;;
390820100140;2;1.00;198.456368483;15;152;;;;;;
390820100141;2;1.00;198.456368483;15;152;;;;;;
390980100114;2;1.00;165.239899289;15;152;;;;;;
390980100133;2;1.00;165.239899289;15;152;;;;;;
390050100106;2;1.00;163.555005924;16;162;;;;;;
390050100125;2;1.00;163.555005924;16;162;;;;;;
390050100132;2;1.00;163.555005924;16;162;;;;;;
390050100134;2;1.00;163.555005924;16;162;;;;;;
390380100111;2;1.00;179.441143365;16;162;;;;;;
390380100113;2;1.00;179.441143365;16;162;;;;;;
390380100115;2;1.00;179.441143365;16;162;;;;;;
390380100116;2;1.00;179.441143365;16;162;;;;;;
390380100121;2;1.00;179.441143365;16;162;;;;;;
390430100158;2;1.00;184.856872038;16;162;;;;;;
390640100117;2;1.00;161.629413507;16;162;;;;;;
390640100118;2;1.00;161.629413507;16;162;;;;;;
390640100137;2;1.00;161.629413507;16;162;;;;;;
390780100107;2;1.00;165.721297393;16;162;;;;;;
390780100125;2;1.00;165.721297393;16;162;;;;;;
390820100133;2;1.00;198.456368483;16;162;;;;;;
390980100105;2;1.00;165.239899289;16;162;;;;;;
390980100107;2;1.00;165.239899289;16;162;;;;;;
390980100136;2;1.00;165.239899289;16;162;;;;;;
390980100137;2;1.00;165.239899289;16;162;;;;;;
390380100140;2;1.00;179.441143365;21;212;;;;;;
390050100128;2;1.00;163.555005924;22;222;;;;;;
390380100106;2;1.00;179.441143365;22;222;;;;;;
390430100126;2;1.00;184.856872038;22;222;;;;;;
390430100144;2;1.00;184.856872038;22;222;;;;;;
390430100159;2;1.00;184.856872038;22;222;;;;;;
390780100130;2;1.00;165.721297393;22;222;;;;;;
390780100156;2;1.00;165.721297393;22;222;;;;;;
390820100102;2;1.00;198.456368483;22;222;;;;;;
390820100107;2;1.00;198.456368483;22;222;;;;;;
390820100111;2;1.00;198.456368483;22;222;;;;;;
390820100134;2;1.00;198.456368483;22;222;;;;;;
390820100143;2;1.00;198.456368483;22;222;;;;;;
390980100110;2;1.00;165.239899289;22;222;;;;;;
390050100109;2;1.00;163.555005924;23;232;;;;;;
390050100127;2;1.00;163.555005924;23;232;;;;;;
390050100131;2;1.00;163.555005924;23;232;;;;;;
390380100103;2;1.00;179.441143365;23;232;;;;;;
390380100129;2;1.00;179.441143365;23;232;;;;;;
390430100120;2;1.00;184.856872038;23;232;;;;;;
390430100123;2;1.00;184.856872038;23;232;;;;;;
390640100107;2;1.00;161.629413507;23;232;;;;;;
390640100123;2;1.00;161.629413507;23;232;;;;;;
390640100159;2;1.00;161.629413507;23;232;;;;;;
390780100138;2;1.00;165.721297393;23;232;;;;;;
390980100112;2;1.00;165.239899289;23;232;;;;;;
390980100117;2;1.00;165.239899289;23;232;;;;;;
390980100139;2;1.00;165.239899289;23;232;;;;;;
390050100105;2;1.00;163.555005924;24;242;;;;;;
390050100112;2;1.00;163.555005924;24;242;;;;;;
390050100135;2;1.00;163.555005924;24;242;;;;;;
390380100147;2;1.00;179.441143365;24;242;;;;;;
390380100152;2;1.00;179.441143365;24;242;;;;;;
390430100105;2;1.00;184.856872038;24;242;;;;;;
390430100128;2;1.00;184.856872038;24;242;;;;;;
390430100138;2;1.00;184.856872038;24;242;;;;;;
390430100151;2;1.00;184.856872038;24;242;;;;;;
390640100116;2;1.00;161.629413507;24;242;;;;;;
390640100138;2;1.00;161.629413507;24;242;;;;;;
390780100101;2;1.00;165.721297393;24;242;;;;;;
390780100131;2;1.00;165.721297393;24;242;;;;;;
390820100118;2;1.00;198.456368483;24;242;;;;;;
390820100120;2;1.00;198.456368483;24;242;;;;;;
390980100113;2;1.00;165.239899289;24;242;;;;;;
390980100118;2;1.00;165.239899289;24;242;;;;;;
390050100107;2;1.00;163.555005924;25;252;;;;;;
390050100110;2;1.00;163.555005924;25;252;;;;;;
390050100147;2;1.00;163.555005924;25;252;;;;;;
390380100110;2;1.00;179.441143365;25;252;;;;;;
390380100114;2;1.00;179.441143365;25;252;;;;;;
390380100118;2;1.00;179.441143365;25;252;;;;;;
