N_IDE;Elev_pob;Estrato;qvar;All_E;se1;se2;se3;se4;se5;se6;se7;se8;se9;se10;se11;se12;SCALE;SCAWEI;CALWEI;G_WEIG
390.150.100.101;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;148,73;148,30;1,00
390.150.100.102;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;148,73;233,78;1,57
390.150.100.103;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;148,73;87,20;0,59
390.150.100.104;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;148,73;148,30;1,00
390.150.100.106;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;148,73;193,47;1,30
390.150.100.117;148,730936398;1;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;148,73;150,87;1,01
390.150.100.119;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;148,73;213,14;1,43
390.150.100.120;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;148,73;93,16;0,63
390.150.100.121;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;148,73;121,53;0,82
390.150.100.123;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;148,73;93,16;0,63
390.150.100.124;148,730936398;1;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;148,73;93,28;0,63
390.150.100.127;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;148,73;233,78;1,57
390.150.100.128;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;148,73;193,47;1,30
390.150.100.129;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;148,73;50,94;0,34
390.150.100.130;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;148,73;193,47;1,30
390.150.100.131;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;148,73;148,30;1,00
390.150.100.133;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;148,73;121,53;0,82
390.150.100.134;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;148,73;233,78;1,57
390.150.100.136;148,730936398;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;148,73;50,94;0,34
390.580.100.101;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;136,92;85,76;0,63
390.580.100.104;136,920991805;1;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;136,92;85,87;0,63
390.580.100.110;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;136,92;85,76;0,63
390.580.100.112;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;136,92;85,76;0,63
390.580.100.113;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;136,92;111,88;0,82
390.580.100.114;136,920991805;1;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;136,92;167,23;1,22
390.580.100.115;136,920991805;1;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;136,92;141,49;1,03
390.580.100.116;136,920991805;1;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;136,92;167,23;1,22
390.580.100.117;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;136,92;85,76;0,63
390.580.100.118;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;136,92;136,52;1,00
390.580.100.120;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;136,92;46,90;0,34
390.580.100.123;136,920991805;1;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;136,92;138,89;1,01
390.580.100.126;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;136,92;80,28;0,59
390.580.100.127;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;136,92;80,28;0,59
390.580.100.128;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;136,92;111,88;0,82
390.580.100.130;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;136,92;111,88;0,82
390.580.100.132;136,920991805;1;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;136,92;141,49;1,03
390.580.100.133;136,920991805;1;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;136,92;138,89;1,01
390.580.100.138;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;136,92;80,28;0,59
390.580.100.140;136,920991805;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;136,92;215,22;1,57
390.670.100.101;132,042971212;1;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;136,45;1,03
390.670.100.103;132,042971212;1;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;161,27;1,22
390.670.100.107;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;189,23;1,43
390.670.100.109;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;132,04;77,42;0,59
390.670.100.113;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;132,04;82,71;0,63
390.670.100.116;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;131,66;1,00
390.670.100.117;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;189,23;1,43
390.670.100.118;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;132,04;207,55;1,57
390.670.100.119;132,042971212;1;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;133,94;1,01
390.670.100.121;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;132,04;77,42;0,59
390.670.100.126;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;189,23;1,43
390.670.100.127;132,042971212;1;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;136,45;1,03
390.670.100.128;132,042971212;1;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;161,27;1,22
390.670.100.134;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;45,22;0,34
390.670.100.136;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;132,04;77,42;0,59
390.670.100.138;132,042971212;1;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;136,45;1,03
390.670.100.140;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;132,04;77,42;0,59
390.670.100.145;132,042971212;1;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;132,04;133,94;1,01
390.670.100.153;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;132,04;82,71;0,63
390.670.100.158;132,042971212;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;132,04;107,89;0,82
390.900.100.103;124,978251734;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;124,98;78,28;0,63
390.900.100.107;124,978251734;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;124,98;73,28;0,59
390.900.100.108;124,978251734;1;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;124,98;126,77;1,01
390.900.100.109;124,978251734;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;124,98;196,45;1,57
390.900.100.113;124,978251734;1;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;124,98;179,11;1,43
390.900.100.115;124,978251734;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;124,98;73,28;0,59
